Metabolite,´úÐ»Îï,P_value,FDR,VIP_pred_OPLS-DA,VIP_PLS-DA,FC(KA/HA),Log2FC(KA/HA),Significant,Regulate,"KEGG Compound ID","KEGG Compound First Category","KEGG Compound Second Category","KEGG Pathway ID","KEGG Pathway Description","KEGG Pathway First Category","KEGG Pathway Second Category","Library ID","HMDB Superclass","HMDB Class","HMDB Subclass","CAS ID",M/Z,"Retention time",Adducts,Formula,"Fragmentation Score","Theoretical Fragmentation Score","Metab ID",ID,Mode,KA1,KA10,KA11,KA12,KA6,KA8,HA12,HA14,HA16,HA3,HA4,HA6,ka_mean,ka_SD,ha_mean,ha_SD
L-Octanoylcarnitine,"L -ÐÁõ£»ùÈâ¼î",0.0001841,0.01615,1.6635,1.5516,1.8773,0.9087,yes,up,C02838,-,-,-,-,-,-,LMFA07070002;HMDB0000791,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",25243-95-2,288.216337053,5.9761,M+H,C15H29NO4,86.9,0,metab_4342,pos_5305,pos,410200,541300,550400,572900,471700,538900,213400,248300,327900,188000,400400,265200,,,,
Histamine,×é°·,0.0003513,0.02086,1.6606,1.4942,4.8909,2.2901,yes,up,C00388,"Peptides;Hormones and transmitters;Hormones and transmitters","Amines;Other hormones;Neurotransmitters",map01100;map05310;map04664;map04750;map00340;map04971;map04974;map04080;map04721,"Metabolic pathways;Asthma;Fc epsilon RI signaling pathway;Inflammatory mediator regulation of TRP channels;Histidine metabolism;Gastric acid secretion;Protein digestion and absorption;Neuroactive ligand-receptor interaction;Synaptic vesicle cycle","Metabolism;Human Diseases;Organismal Systems;Organismal Systems;Metabolism;Organismal Systems;Organismal Systems;Environmental Information Processing;Organismal Systems","Global and overview maps;Immune disease;Immune system;Sensory system;Amino acid metabolism;Digestive system;Digestive system;Signaling molecules and interaction;Nervous system",HMDB0000870;PW_C000693;MJDBOTE0000422,"Organic nitrogen compounds","Organonitrogen compounds",Amines,51-45-6,112.087054813,0.602133333333,M+H,C5H9N3,76.1,0,metab_312,pos_1282,pos,56800,39170,21090,46030,39170,45090,1180,21140,12890,1755,12750,858.8,,,,
Nornicotine,È¥¼×ÑÌ¼î,0.0006199,0.0275,1.6505,1.4964,1.7734,0.8265,yes,up,C06524,-,-,-,-,-,-,PW_C000880;HMDB0001126,"Organoheterocyclic compounds","Pyridines and derivatives",Pyrrolidinylpyridines,494-97-3,314.231846338,6.08076666667,2M+NH4,C9H12N2,0,40.6,metab_4266,pos_5233,pos,1055000,1248000,1166000,953900,1251000,1220000,471100,612300,671100,444400,987200,700800,,,,
1-Phenylbiguanide,1-±½»ùË«ËõëÒ,0.002207,0.04352,1.6476,1.6599,4.2363,2.0828,yes,up,-,-,-,-,-,-,-,HMDB0256437,"Organic nitrogen compounds","Organonitrogen compounds",Guanidines,-,160.096625815,2.6973,M+H-H2O,C8H11N5,0,42.1,metab_5015,pos_5922,pos,1573000,1784000,1277000,1003000,655700,1129000,337900,264900,308700,310300,240000,290400,,,,
"3-Hydroxyanthranilic acid",3-ôÇ»ù-2-°±»ù±½¼×Ëá,0.001148,0.033,1.6376,1.4867,0.532,-0.9105,yes,down,C00632,-,-,map01100;map00380;map01240,"Metabolic pathways;Tryptophan metabolism;Biosynthesis of cofactors",Metabolism;Metabolism;Metabolism,"Global and overview maps;Amino acid metabolism;Global and overview maps",HMDB0001476;PW_C001137,Benzenoids,"Benzene and substituted derivatives","Benzoic acids and derivatives",548-93-6,154.04961934,1.91188333333,M+H,C7H7NO3,92.4,0,metab_5125,pos_6023,pos,2368000,2256000,3444000,1054000,1784000,3001000,4780000,3892000,4343000,4252000,4108000,4766000,,,,
Betaine,Ìð²Ë¼î,0.0002231,0.01632,1.6374,1.6049,0.5272,-0.9236,yes,down,C00719,-,-,map01100;map02010;map00260,"Metabolic pathways;ABC transporters;Glycine, serine and threonine metabolism","Metabolism;Environmental Information Processing;Metabolism","Global and overview maps;Membrane transport;Amino acid metabolism",HMDB0000043;PW_C000030;MJDBTMA0000064,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",6915-17-9;107-43-7,118.086316101,0.704516666667,M+H,C5H11NO2,64.7,0,metab_5415,pos_6304,pos,9737000,10840000,7554000,6965000,9082000,11520000,20060000,19150000,17970000,12580000,16310000,19600000,,,,
Serotonin,5-ôÇÉ«°·,0.0009113,0.02992,1.6174,1.4898,5.6079,2.4875,yes,up,C00780,"Peptides;Hormones and transmitters",Amines;Neurotransmitters,map01100;map05207;map04750;map04540;map04976;map04024;map04080;map04726;map04742;map00380;map04721,"Metabolic pathways;Chemical carcinogenesis - receptor activation;Inflammatory mediator regulation of TRP channels;Gap junction;Bile secretion;cAMP signaling pathway;Neuroactive ligand-receptor interaction;Serotonergic synapse;Taste transduction;Tryptophan metabolism;Synaptic vesicle cycle","Metabolism;Human Diseases;Organismal Systems;Cellular Processes;Organismal Systems;Environmental Information Processing;Environmental Information Processing;Organismal Systems;Organismal Systems;Metabolism;Organismal Systems","Global and overview maps;Cancer: overview;Sensory system;Cellular community - eukaryotes;Digestive system;Signal transduction;Signaling molecules and interaction;Nervous system;Sensory system;Amino acid metabolism;Nervous system",PW_C000178;HMDB0000259;MJDBSJD0000073,"Organoheterocyclic compounds","Indoles and derivatives","Tryptamines and derivatives",50-67-9,218.128557211,2.70531666667,M+ACN+H,C10H12N2O,88.1,0,metab_717,pos_1668,pos,75710,78200,128900,155000,117900,180500,4424,51580,22180,2999,45820,4275,,,,
5-Methyl-1H-Benzotriazole,5-¼×»ù±½²¢Èýßò,0.0003309,0.02045,1.6172,1.4826,1.1969,0.2593,yes,up,-,-,-,-,-,-,-,-,-,-,-,-,134.071164423,6.03278333333,M+H,C7H7N3,91.6,0,metab_4308,pos_5273,pos,366100,370400,359100,413100,360200,367200,309600,313900,297500,303000,348600,296000,,,,
"LysoPI(20:4(5Z,8Z,11Z,14Z)/0:0)",-,0.0003598,0.01423,1.6152,1.521,0.5245,-0.931,yes,down,-,-,-,-,-,-,-,HMDB0061690,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphoinositols,1246430-04-5,619.288798129,7.53103333333,M-H,C29H49O12P,0,87.7,metab_6886,neg_1488,neg,177000,94990,204900,192200,121300,154300,232400,334300,300400,338000,246800,349000,,,,
Falcarindiol,¸£¶û¿¨Ï©È²¶þ´¼,0.001033,0.03086,1.6103,1.5714,0.3897,-1.3596,yes,down,C08449,-,-,-,-,-,-,LMFA05000658;HMDB0244257;HMDB0033941,"Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols",55297-87-5,538.385854033,7.75028333333,2M+NH4,C17H24O2,0,51.5,metab_2647,pos_3585,pos,445900,202300,466600,247000,108500,66710,544900,807500,768700,521900,721700,580200,,,,
Tetrahydrodipicolinate,"2,3,4,5-ËÄÇâßÁà¤-2,6-¶þ¼×Ëá",0.001525,0.03719,1.604,1.4455,0.5161,-0.9543,yes,down,C03972,-,-,map01100;map01230,"Metabolic pathways;Biosynthesis of amino acids",Metabolism;Metabolism,"Global and overview maps;Global and overview maps",HMDB0012289,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",4226-22-6,154.049696132,0.846383333333,M+H-H2O,C7H9NO4,0,55.7,metab_533,pos_1499,pos,1891000,1663000,2869000,753200,1273000,2329000,3738000,3278000,3158000,3707000,3047000,3953000,,,,
Melatonin,ÍÊºÚ¼¤ËØ,0.003397,0.0531,1.6033,1.5729,93.5111,6.5471,yes,up,C01598,"Hormones and transmitters","Other hormones",map01100;map04713;map04080;map00380,"Metabolic pathways;Circadian entrainment;Neuroactive ligand-receptor interaction;Tryptophan metabolism","Metabolism;Organismal Systems;Environmental Information Processing;Metabolism","Global and overview maps;Environmental adaptation;Signaling molecules and interaction;Amino acid metabolism",PW_C001074;HMDB0001389;MJDBZSJ0000127,"Organoheterocyclic compounds","Indoles and derivatives",Indoles,73-31-4,233.127985963,4.7402,M+H,C13H16N2O2,42.2,0,metab_905,pos_1839,pos,106200,42530,112200,136400,59250,175000,600.1,443.7,568.2,564.4,3961,613,,,,
"1,2,3-Benzotriazole","1£¬2£¬3 -±½²¢Èýßò",0.0002787,0.01927,1.6011,1.5285,0.684,-0.5479,yes,down,-,-,-,-,-,-,-,-,-,-,-,-,120.056592045,2.55261666667,"M+H-H2O, M+H",C6H5N3,40.3,0,metab_2348,pos_329,pos,88310,113500,77820,95120,97360,106100,164900,133900,123700,139000,131700,152400,,,,
P-Aminophenazone,-,0.0004077,0.02148,1.6011,1.5089,0.6779,-0.5609,yes,down,-,-,-,-,-,-,-,HMDB0256031,"Organoheterocyclic compounds",Diazanaphthalenes,Benzodiazines,-,250.038153729,2.53661666667,M+K,C12H9N3O,0,35.8,metab_5053,pos_5958,pos,288800,331800,237300,256100,268000,301900,503700,397500,381800,391900,372900,435700,,,,
Biguanide,Ë«ËõëÒ,0.0008928,0.02992,1.5994,1.5915,1.114,0.1557,yes,up,C07672,-,-,-,-,-,-,HMDB0249203,"Organic nitrogen compounds","Organonitrogen compounds",Guanidines,56-03-1,84.0670287018,7.82211666667,M+H-H2O,C2H7N5,0,42.1,metab_2449,pos_3393,pos,107500,103300,98830,103400,100700,109200,93840,88000,91820,91140,94480,99820,,,,
3-Pyridinecarboxaldehyde,3-ßÁà¤¼×È©,0.0004882,0.02416,1.5929,1.4648,0.8487,-0.2367,yes,down,C07327,-,-,-,-,-,-,HMDB0245978,"Organoheterocyclic compounds","Pyridines and derivatives","Pyridine carboxaldehydes",500-22-1,108.0445648,1.91188333333,M+H,C6H5NO,0,48.6,metab_5129,pos_6027,pos,596900,591100,623700,540600,577500,654900,738500,664100,693700,687300,692600,747500,,,,
L-Erythrulose,L-³àÞºÍªÌÇ,0.0015,0.02505,1.5926,1.4735,1.4587,0.5447,yes,up,C02045,Carbohydrates,Monosaccharides,-,-,-,-,HMDB0006293,"Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",533-50-6,119.033941534,0.714166666667,M-H,C4H8O4,30.1,0,metab_7781,neg_2313,neg,1088000,1446000,1154000,1076000,1473000,1241000,724500,919200,927100,859000,939100,756400,,,,
Glycerophosphocholine,¸ÊÓÍÁ×Ëáµ¨¼î,0.001137,0.033,1.5834,1.6235,0.613,-0.706,yes,down,C00670,-,-,map00565;map00564;map05231,"Ether lipid metabolism;Glycerophospholipid metabolism;Choline metabolism in cancer","Metabolism;Metabolism;Human Diseases","Lipid metabolism;Lipid metabolism;Cancer: overview",HMDB0008359;PW_C000059;HMDB0008094;HMDB0008718;HMDB0008784;HMDB0008556;HMDB0008062;HMDB0008194;HMDB0008456;HMDB0008458;HMDB0011222;HMDB0008027;HMDB0008685;HMDB0011225;HMDB0007928;HMDB0008357;HMDB0008588;HMDB0008652;HMDB0007930;HMDB0008360;HMDB0008162;HMDB0008523;HMDB0008424;HMDB0008488;HMDB0007962;HMDB0008721;HMDB0008061;HMDB0007994;HMDB0000086;HMDB0008327;HMDB0008554;HMDB0008653;HMDB0007929;HMDB0008093;HMDB0011227;HMDB0008325;HMDB0008422;HMDB0008787;HMDB0008159;HMDB0007896;HMDB0008030;HMDB0007997;HMDB0008227;HMDB0008589;HMDB0008258;HMDB0008491;HMDB0008620;HMDB0011223;HMDB0007996;HMDB0011221;HMDB0008228;HMDB0008390;HMDB0008687;HMDB0008587;HMDB0008785;HMDB0008226;HMDB0008586;HMDB0008063;HMDB0008326;HMDB0008193;HMDB0008392;HMDB0008820;HMDB0008555;HMDB0008293;HMDB0008719;HMDB0008060;HMDB0008127;HMDB0007995;HMDB0008455;HMDB0008225;HMDB0011224;HMDB0008291;HMDB0008753;HMDB0008457;HMDB0008654;HMDB0008489;HMDB0008521;HMDB0008358;HMDB0011228;HMDB0007895;HMDB0008425;HMDB0008294;HMDB0008622;HMDB0008261;HMDB0008817;HMDB0008160;HMDB0007931;HMDB0008096;HMDB0011290;HMDB0008557;HMDB0008423;HMDB0008095;HMDB0008720;HMDB0008818;HMDB0011226;HMDB0008621;HMDB0008195;HMDB0008619;HMDB0008128;HMDB0008260;HMDB0008391;HMDB0007963;HMDB0008292;HMDB0008819;HMDB0008524;HMDB0008490;HMDB0008393;HMDB0008161;HMDB0008786;HMDB0008259;MJDBOTE0000471,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphocholines,28319-77-9,258.109548363,0.886083333333,M+H,C8H20NO6P,77.1,0,metab_554,pos_1517,pos,481400,273800,373100,390700,305200,373200,583700,778100,497700,619200,572600,533000,,,,
12(S)-HETrE,12£¨S£©-ºÕÌØ¶û,0.001753,0.03994,1.5824,1.4257,1.1393,0.1881,yes,up,-,-,-,-,-,-,-,HMDB0062747,"Lipids and lipid-like molecules","Fatty Acyls",Eicosanoids,-,345.237442783,6.0001,M+Na,C20H34O3,0,78.8,metab_1179,pos_2086,pos,1477000,1453000,1363000,1462000,1464000,1469000,1263000,1265000,1272000,1254000,1413000,1160000,,,,
"8,8-Dimethoxy-2,6-dimethyl-2-octanol","8£¬8 -¶þ¼×Ñõ»ù- 2£¬6 -¶þ¼×»ù- 2 -ÐÁ´¼",0.0009642,0.0302,1.582,1.4446,1.5056,0.5903,yes,up,-,-,-,-,-,-,-,HMDB0040219,"Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols",141-92-4,282.203456442,6.04078333333,M+ACN+Na,C12H26O3,0,32.2,metab_1208,pos_2113,pos,130400,163300,170400,172500,158700,163800,115700,118800,95760,82510,139700,84550,,,,
"2,4-Dihydroxy-2H-1,4-benzoxazin-3(4H)-one","2,4-¶þôÇ»ù-2H-1,4-±½²¢¶ñàº-3£¨4H£©-Íª",0.003619,0.05444,1.5774,1.4294,0.1235,-3.0174,yes,down,C15770,-,-,-,-,-,-,HMDB0033733,"Organoheterocyclic compounds",Benzoxazines,Benzoxazinones,17359-54-5,199.071048688,2.72131666667,M+NH4,C8H7NO4,0,43.9,metab_5007,pos_5915,pos,13190,2842,31790,2347,2356,20380,134000,44410,139400,108400,44550,119600,,,,
"Kinetensin 4-7","¼¤¶¯ËØ4 ~ 7",0.002918,0.03442,1.5704,1.4506,2.2346,1.16,yes,up,-,-,-,-,-,-,-,HMDB0012986,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",138482-56-1,592.265458759,6.40991666667,M+Na-2H,C26H37N9O6,0,65.9,metab_7159,neg_1737,neg,977000,845200,846900,886500,1106000,905500,177400,435800,305700,751700,672400,148200,,,,
Pro-Pro-Pro,¾Û×óÐý¸¬°±Ëá,0.00178,0.03994,1.5629,1.4171,0.4986,-1.004,yes,down,-,-,-,-,-,-,-,HMDB0256689,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",-,310.175416109,2.63333333333,M+H,C15H23N3O4,0,77.6,metab_692,pos_1645,pos,103100,111200,142200,73370,77110,129400,233000,169100,278500,198000,149400,248600,,,,
SM(d18:0/16:1(9Z)),-,0.001452,0.03684,1.5618,1.4226,1.9581,0.9695,yes,up,C00550,Lipids,Phospholipids,map00600;map01100;map04071;map04217,"Sphingolipid metabolism;Metabolic pathways;Sphingolipid signaling pathway;Necroptosis","Metabolism;Metabolism;Environmental Information Processing;Cellular Processes","Lipid metabolism;Global and overview maps;Signal transduction;Cell growth and death",HMDB0013464,"Lipids and lipid-like molecules",Sphingolipids,Phosphosphingolipids,-,725.55544236,7.617,"M+Na, M+ACN+H",C39H79N2O6P,0,82.5,metab_6135,pos_819,pos,714500,680300,613400,1093000,881100,899600,337300,316400,365600,470500,627600,375500,,,,
N1-Methyl-2-pyridone-5-carboxamide,"N1 -¼×»ù- 2 -ßÁà¤Íª- 5 -¼×õ£°·",0.003181,0.05213,1.5575,1.4009,0.5553,-0.8487,yes,down,C05842,-,-,map01100;map00760,"Metabolic pathways;Nicotinate and nicotinamide metabolism",Metabolism;Metabolism,"Global and overview maps;Metabolism of cofactors and vitamins",PW_C002086;HMDB0004193,"Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives",701-44-0,153.065654344,1.91188333333,"M+H, M+Na",C7H8N2O2,0,52.2,metab_2272,pos_320,pos,8995000,8621000,14570000,4253000,6438000,11670000,18240000,14740000,16280000,16060000,14790000,18120000,,,,
3-Cyanoalanine,3-Çè»ù±û°±Ëá,0.004455,0.05933,1.5569,1.4161,0.5118,-0.9663,yes,down,C02512,-,-,map01100,"Metabolic pathways",Metabolism,"Global and overview maps",HMDB0060245;HMDB0245844,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",6232-19-5,156.076588681,0.649766666667,M+ACN+H,C4H6N2O2,0,32.4,metab_5532,pos_6413,pos,440600,466000,494600,380000,401000,503700,1200000,567900,1018000,846300,727600,888600,,,,
"PA(22:5(7Z,10Z,13Z,16Z,19Z)/20:3(8Z,11Z,14Z))",-,0.004849,0.04359,1.5568,1.4495,0.1648,-2.6012,yes,down,C00416,Lipids,Phospholipids,map01100;map00564;map04070;map00561;map05212;map05200;map04975;map04024;map04072;map04912;map05231;map04666,"Metabolic pathways;Glycerophospholipid metabolism;Phosphatidylinositol signaling system;Glycerolipid metabolism;Pancreatic cancer;Pathways in cancer;Fat digestion and absorption;cAMP signaling pathway;Phospholipase D signaling pathway;GnRH signaling pathway;Choline metabolism in cancer;Fc gamma R-mediated phagocytosis","Metabolism;Metabolism;Environmental Information Processing;Metabolism;Human Diseases;Human Diseases;Organismal Systems;Environmental Information Processing;Environmental Information Processing;Organismal Systems;Human Diseases;Organismal Systems","Global and overview maps;Lipid metabolism;Signal transduction;Lipid metabolism;Cancer: specific types;Cancer: overview;Digestive system;Signal transduction;Signal transduction;Endocrine system;Cancer: overview;Immune system",PW_C063986;HMDB0115601,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphates,-,817.502811074,7.3682,M+FA-H,C45H73O8P,0,34,metab_6606,neg_1235,neg,797500,494400,1873000,605700,843100,1461000,9936000,3243000,5245000,5916000,3771000,8722000,,,,
N1-Methyl-4-pyridone-3-carboxamide,"N1 -¼×»ù- 4 -ßÁà¤Íª- 3 -¼×õ£°·",0.002906,0.04874,1.5562,1.3925,0.5237,-0.9332,yes,down,C05843,-,-,map01100;map00760,"Metabolic pathways;Nicotinate and nicotinamide metabolism",Metabolism;Metabolism,"Global and overview maps;Metabolism of cofactors and vitamins",HMDB0004194;PW_C002087,"Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives",769-49-3,153.065644648,0.846383333333,M+H,C7H8N2O2,0,63.1,metab_532,pos_1498,pos,7709000,6843000,12960000,3182000,5024000,9313000,15810000,13040000,13150000,15450000,12370000,16180000,,,,
FAHFA(18:0/13-O-16:0),-,0.001718,0.03994,1.544,1.3985,2.8253,1.4984,yes,up,-,-,-,-,-,-,-,LMFA07090048;HMDB0112153,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",-,556.529028256,6.82985,M+NH4,C34H66O4,0,65.3,metab_1834,pos_2739,pos,457700,396900,198600,257500,394100,333100,81760,76970,47440,222000,220800,72480,,,,
"PA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:4(7Z,10Z,13Z,16Z))",PA£¨22:6£¨4Z£¬7Z£¬10Z£¬13Z£¬16Z£¬19Z£©/22:4£¨7Z£¬10Z£¬13Z£¬16Z£©£©,0.00526,0.04572,1.5434,1.4386,0.1308,-2.9346,yes,down,C00416,Lipids,Phospholipids,map01100;map00564;map04070;map00561;map05212;map05200;map04975;map04024;map04072;map04912;map05231;map04666,"Metabolic pathways;Glycerophospholipid metabolism;Phosphatidylinositol signaling system;Glycerolipid metabolism;Pancreatic cancer;Pathways in cancer;Fat digestion and absorption;cAMP signaling pathway;Phospholipase D signaling pathway;GnRH signaling pathway;Choline metabolism in cancer;Fc gamma R-mediated phagocytosis","Metabolism;Metabolism;Environmental Information Processing;Metabolism;Human Diseases;Human Diseases;Organismal Systems;Environmental Information Processing;Environmental Information Processing;Organismal Systems;Human Diseases;Organismal Systems","Global and overview maps;Lipid metabolism;Signal transduction;Lipid metabolism;Cancer: specific types;Cancer: overview;Digestive system;Signal transduction;Signal transduction;Endocrine system;Cancer: overview;Immune system",PW_C062848;HMDB0115422;LMGP10010844,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphates,-,841.50235734,7.26493333333,M+FA-H,C47H73O8P,0,48.2,metab_6946,neg_1542,neg,157900,80600,594200,142000,164100,469900,3270000,1001000,1825000,1907000,1181000,3108000,,,,
"Riesling acetal",-,0.001207,0.02352,1.5393,1.456,0.3522,-1.5055,yes,down,-,-,-,-,-,-,-,HMDB0037562,"Organoheterocyclic compounds",Tetrahydrofurans,"Not Available",-,271.154839842,6.06311666667,M+FA-H,C13H22O3,0,67.8,metab_8985,neg_958,neg,35410,46750,82740,6595,41270,49660,113300,120200,152900,97590,84670,176800,,,,
