Num,"First Category","Second Category","Pathway Description",通路描述,Pathway_ID,Database,"Enrich Factor","DA Score",Ratio_in_study,Ratio_in_pop,P_value,P_adjust
2,Metabolism,"Lipid metabolism","Linoleic acid metabolism",亚油酸代谢,map00591,"KEGG PATHWAY",0.035714285714286,-0.04167," 1/17"," 28/6215",0.07398,0.1233
2,Metabolism,"Lipid metabolism","alpha-Linolenic acid metabolism",α-亚麻酸代谢,map00592,"KEGG PATHWAY",0.022727272727273,-0.04651," 1/17"," 44/6215",0.1139,0.1424
2,Metabolism,"Lipid metabolism","Arachidonic acid metabolism",花生四烯酸代谢,map00590,"KEGG PATHWAY",0.013333333333333,-0.04082," 1/17"," 75/6215",0.1867,0.1954
2,Metabolism,"Global and overview maps","Biosynthesis of cofactors",辅助因子的生物合成,map01240,"KEGG PATHWAY",0.0061162079510703,-0.1111," 2/17"," 327/6215",0.2242,0.2242
3,"Organismal Systems","Sensory system","Inflammatory mediator regulation of TRP channels",TRP通道的炎症介质调节,map04750,"KEGG PATHWAY",0.085714285714286,0.1," 3/17"," 35/6215",0.0001054,0.001186
3,Metabolism,"Amino acid metabolism","Tryptophan metabolism",色氨酸代谢,map00380,"KEGG PATHWAY",0.036144578313253,0.09091," 3/17"," 83/6215",0.001364,0.008772
3,"Organismal Systems","Nervous system","Retrograde endocannabinoid signaling",逆行内源性大麻素信号传导,map04723,"KEGG PATHWAY",0.10526315789474,-0.04545," 2/17"," 19/6215",0.001172,0.008789
4,"Environmental Information Processing","Signaling molecules and interaction","Neuroactive ligand-receptor interaction",神经活性配体-受体相互作用,map04080,"KEGG PATHWAY",0.076923076923077,0.1818," 4/17"," 52/6215",9.572E-6,0.0002154
6,"Human Diseases","Cancer: specific types","Pancreatic cancer",胰腺癌,map05212,"KEGG PATHWAY",0.5,-0.5455," 1/17"," 2/6215",0.005464,0.02732
6,"Organismal Systems","Endocrine system","GnRH signaling pathway",GnRH信号通路,map04912,"KEGG PATHWAY",0.16666666666667,-0.3529," 1/17"," 6/6215",0.01631,0.06115
6,"Organismal Systems","Immune system","Fc gamma R-mediated phagocytosis",Fc-γR-介导的吞噬作用,map04666,"KEGG PATHWAY",0.125,-0.3529," 1/17"," 8/6215",0.02169,0.07507
6,"Environmental Information Processing","Signal transduction","Phospholipase D signaling pathway",磷脂酶D信号通路,map04072,"KEGG PATHWAY",0.090909090909091,-0.3529," 1/17"," 11/6215",0.0297,0.07863
6,"Organismal Systems","Digestive system","Fat digestion and absorption",脂肪的消化和吸收,map04975,"KEGG PATHWAY",0.076923076923077,-0.375," 1/17"," 13/6215",0.03501,0.07878
6,"Human Diseases","Cancer: overview","Pathways in cancer",癌症的发病通路,map05200,"KEGG PATHWAY",0.032258064516129,-0.3333," 1/17"," 31/6215",0.0816,0.1224
6,"Environmental Information Processing","Signal transduction","Phosphatidylinositol signaling system",磷脂酰肌醇信号系统,map04070,"KEGG PATHWAY",0.03448275862069,-0.5," 1/17"," 29/6215",0.07653,0.123
6,Metabolism,"Lipid metabolism","Glycerolipid metabolism",甘油脂代谢,map00561,"KEGG PATHWAY",0.026315789473684,-0.4615," 1/17"," 38/6215",0.09913,0.1312
7,"Environmental Information Processing","Signal transduction","cAMP signaling pathway",cAMP信号通路,map04024,"KEGG PATHWAY",0.08,-0.25," 2/17"," 25/6215",0.002036,0.01145
9,"Human Diseases","Cancer: overview","Choline metabolism in cancer",癌症的胆碱代谢,map05231,"KEGG PATHWAY",0.27272727272727,-0.1154," 3/17"," 11/6215",2.768E-6,0.0001246
12,Metabolism,"Lipid metabolism","Glycerophospholipid metabolism",甘油磷脂代谢,map00564,"KEGG PATHWAY",0.071428571428571,-0.1," 4/17"," 56/6215",1.29E-5,0.0001935
